Integrante;TipoEquipo;SO;Tipo SO;FormatoDD;PorcesaTexto;VersionProcesa;Formato;NumeroLetrasa;Tama–oArchivo
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;1000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;2000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;3000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;4000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;5000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;6000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;7000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;8000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;9000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;10000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;20000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;30000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;40000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;50000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;60000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;70000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;80000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;90000;12,0 KB
1;Escritorio;Windows XP;32bits;NFTS;Word;2007;doc;100000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;1000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;2000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;3000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;4000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;5000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;6000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;7000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;8000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;9000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;10000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;20000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;30000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;40000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;50000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;60000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;70000;12,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;80000;16,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;90000;16,0 KB
2;Portatil;Window7;64bits;NTFS;Word;2007;docx;100000;16,0 KB
