"";"PREESCOLAR.Total";"PREESCOLAR.Oficial";"PREESCOLAR.No.Oficial";"PREESCOLAR.Subsidiada";"PRIMARIA.Total";"PRIMARIA.Oficial";"PRIMARIA.No.Oficial";"PRIMARIA.Subsidiada";"SECUNDARIA.Y.MEDIA.Total";"SECUNDARIA.Y.MEDIA.Oficial";"SECUNDARIA.Y.MEDIA.No.Oficial";"SECUNDARIA.Y.MEDIA.Subsidiada";"JOVENES.Y.ADULTOS.Total";"JOVENES.Y.ADULTOS.Oficial";"JOVENES.Y.ADULTOS.No.Oficial";"JOVENES.Y.ADULTOS.Subsidiada";"ACELERACION.DEL.APRENDIZAJE.Total";"ACELERACION.DEL.APRENDIZAJE.Oficial";"TOTAL.Total";"TOTAL.Oficial";"TOTAL.No.Oficial";"TOTAL.Subsidiada"
"AMAZONAS";2203;1796;407;0;10769;10648;121;0;7115;7006;109;0;868;868;0;0;0;0;20955;20318;637;0
"ANTIOQUIA";138998;74856;42403;21739;592707;501116;53589;38002;565470;445712;68393;51365;110347;51692;18516;40139;5712;5712;1413234;1079088;182901;151245
"ARAUCA";5819;4961;834;24;29040;27940;1083;17;21744;20824;920;0;3868;3271;597;0;169;169;60640;57165;3434;41
"ATLANTICO";66207;26950;34944;4313;228251;151725;53701;22825;219449;161791;44212;13446;23013;17713;5122;178;3020;3020;539940;361199;137979;40762
"BOGOTA D.C.";158419;60564;91463;6392;577441;338755;187427;51259;688425;410055;211396;66974;57107;29861;27246;0;3556;3556;1484948;842791;517532;124625
"BOLIVAR";54448;33543;18154;2751;232084;185167;30812;16105;204135;166710;25610;11815;51701;49885;1630;186;1117;1117;543485;436422;76206;30857
"BOYACA";26024;15585;10355;84;119388;103605;14628;1155;129815;116449;11822;1544;43257;39538;3719;0;17;17;318501;275194;40524;2783
"CALDAS";18506;13624;4882;0;82227;75587;6617;23;87457;79740;7717;0;12901;10514;2387;0;67;67;201158;179532;21603;23
"CAQUETA";9762;7872;1390;500;64604;60652;1620;2332;39254;38312;764;178;13543;10377;2624;542;368;368;127531;117581;6398;3552
"CASANARE";8866;6011;2855;0;43595;41607;1988;0;39920;38829;1091;0;7535;6326;1209;0;117;117;100033;92890;7143;0
"CAUCA";23004;18718;4271;15;152892;145916;6942;34;128785;119687;8397;701;14700;9459;4753;488;53;53;319434;293833;24363;1238
"CESAR";31138;19930;11189;19;131994;114008;17888;98;102394;93728;8581;85;24953;21643;3310;0;381;381;290860;249690;40968;202
"CHOCO";11516;10918;593;5;70675;70216;427;32;40013;39302;443;268;8401;7823;578;0;1367;1367;131972;129626;2041;305
"CORDOBA";43777;34129;9593;55;201530;186594;14495;441;170808;158549;12156;103;32167;28665;3502;0;658;658;448940;408595;39746;599
"CUNDINAMARCA";59913;28124;28113;3676;245763;175251;57383;13129;268721;199977;57501;11243;36225;26000;10161;64;533;533;611155;429885;153158;28112
"GUAINIA";1134;1083;51;0;5774;5749;25;0;2645;2645;0;0;1550;1550;0;0;74;74;11177;11101;76;0
"GUAVIARE";1677;1469;208;0;11304;10965;339;0;7569;7439;130;0;3572;3403;169;0;104;104;24226;23380;846;0
"HUILA";23575;16824;6747;4;123678;112503;11153;22;110707;101585;9092;30;25369;19774;5305;290;342;342;283671;251028;32297;346
"LA GUAJIRA";23753;18315;4683;755;112602;103097;7799;1706;57048;52006;4730;312;8490;8200;290;0;1853;1853;203746;183471;17502;2773
"MAGDALENA";41686;26583;14715;388;170052;145315;23605;1132;130112;118478;11328;306;26889;25398;1390;101;396;396;369135;316170;51038;1927
"META";21560;12265;8638;657;101098;86195;11147;3756;88861;77736;9173;1952;16069;8481;7588;0;257;257;227845;184934;36546;6365
"NARIÑO";29606;24657;4869;80;183244;175021;7668;555;136852;128812;7874;166;23867;21175;2692;0;725;725;374294;350390;23103;801
"NORTE SANTANDER";30846;18234;12487;125;144184;125352;17962;870;121403;106597;14119;687;8859;1890;6443;526;237;237;305529;252310;51011;2208
"PUTUMAYO";6457;5848;609;0;40354;39989;365;0;30247;30014;233;0;6837;5552;1285;0;189;189;84084;81592;2492;0
"QUINDIO";8726;6251;2475;0;46535;42268;4267;0;52427;47988;4439;0;10534;9345;1189;0;348;348;118570;106200;12370;0
"RISARALDA";18022;11221;6625;176;86372;76921;8294;1157;82094;73021;8430;643;22189;18943;3165;81;390;390;209067;180496;26514;2057
"SAN ANDRES";1476;765;711;0;5090;4183;907;0;5603;4481;1122;0;696;696;0;0;0;0;12865;10125;2740;0
"SANTANDER";44140;24427;19582;131;186368;155224;30251;893;192506;165020;26472;1014;33560;15996;10609;6955;491;491;457065;361158;86914;8993
"SUCRE";27503;20356;6115;1032;108502;95915;7289;5298;98346;91384;4757;2205;15242;10787;3077;1378;149;149;249742;218591;21238;9913
"TOLIMA";27035;19223;7772;40;144209;128145;15760;304;135193;123166;11692;335;36258;21433;4991;9834;118;118;342813;292085;40215;10513
"VALLE";104240;40670;44505;19065;405224;240405;83810;81009;395841;258432;82710;54699;81364;50103;24754;6507;2248;2248;988917;591858;235779;161280
"VAUPES";355;355;0;0;5398;5398;0;0;2943;2943;0;0;320;237;83;0;0;0;9016;8933;83;0
"VICHADA";1038;931;107;0;11563;11538;25;0;5259;5259;0;0;440;440;0;0;0;0;18300;18168;132;0
