"";"DEPARTAMENTO";"PROMEDIOMATEMATICA";"PROMEDIOQUIMICA";"PROMEDIOFISICA";"PROMEDIOBIOLOGIA";"PROMEDIOFILOSOFIA";"PROMEDIOINGLES";"PROMEDIOLENGUAJE";"PROMEDIOSOCIALES";"Promedio"
"1";"AMAZONAS";40,200625;43,438125;42,931875;42,748125;38,58125;40,179375;43,84;42,513125;41,9251442307692
"2";"ANTIOQUIA";44,5035322033898;43,9796203389831;43,2305220338983;44,119593220339;39,1870847457627;42,9542847457627;45,7810033898305;43,2765694915254;43,9136808344198
"3";"ARAUCA";44,7879452054795;44,7441095890411;43,8015068493151;44,5327397260274;38,5095890410959;41,4794520547945;44,7553424657534;43,4106849315069;43,7322023182297
"4";"ATLANTICO";44,3231595576619;44,6867456556082;44,1083096366509;43,9442654028436;39,1979778830964;43,8493206951027;45,3628278041074;42,4352764612954;43,8242410985539
"5";"BOGOTA";48,4650721153846;47,3732331730769;45,8918209134615;47,3474278846154;42,6023798076923;48,7917629362214;48,9208894230769;46,7450721153846;47,5118964277863
"6";"BOLIVAR";42,8664652014652;44,1431868131868;43,1008791208791;42,9480769230769;38,2765750915751;40,9830402930403;44,2219413919414;41,5455860805861;42,6006269371654
"7";"BOYACA";45,9495289079229;45,7084582441113;44,223704496788;45,5402355460385;40,2413062098501;43,0114132762313;45,7894646680942;44,2859957173448;44,8087761489046
"8";"CALDAS";44,4614765100671;44,7212751677852;43,3623154362416;44,4720134228188;39,5994630872483;42,6745637583893;45,7008724832215;43,5797651006711;44,0366313887455
"9";"CAQUETA";43,3440740740741;43,8701481481481;43,4004444444444;43,2722962962963;38,1346666666667;40,130962962963;43,8571851851852;42,4600740740741;42,7178803418803
"10";"CASANARE";44,0210447761194;44,7029850746269;43,0040298507463;44,4384328358209;38,6734328358209;41,0986567164179;44,7302985074627;43,3520149253731;43,4519690011481
"11";"CAUCA";42,8520408163265;44,241746031746;43,2537414965986;43,3995011337868;38,4035827664399;40,880612244898;44,3061451247166;42,6592517006803;42,8440188383045
"12";"CESAR";43,1497683397683;44,3599227799228;43,4972586872587;43,5357528957529;38,854555984556;40,9119305019305;44,3688803088803;42,4851351351351;42,9758182358182
"13";"CHOCO";40,0760169491525;41,4740677966102;41,0763559322034;39,7164406779661;35,2079661016949;37,9318644067797;41,1738983050847;38,3600847457627;39,682816166884
"14";"CORDOBA";43,4484366576819;44,4956603773585;43,5545283018868;43,5359838274933;39,1441778975741;40,5887061994609;44,3851212938005;42,6947978436658;43,0930250881194
"15";"CUNDINAMARCA";45,7751578947368;45,7556421052632;44,3878842105263;45,5158842105263;40,6153157894737;44,5226;46,5942526315789;44,6823894736842;45,1746412955466
"16";"GUAINIA";44,1633333333333;44,2333333333333;44,0316666666667;45,3266666666667;40,6066666666667;42,155;45,6183333333333;45,5083333333333;44,3626923076923
"17";"GUAVIARE";43,5210714285714;43,9910714285714;42,5292857142857;44,1403571428571;38,145;40,3721428571429;43,5542857142857;43,0817857142857;42,8128846153846
"18";"HUILA";44,8491452991453;45,2917378917379;43,8504273504274;44,8087179487179;39,4473219373219;42,0932193732194;45,3869515669516;43,9090313390313;44,1552136752137
"19";"LA GUAJIRA";42,8091390728477;44,1445033112583;43,0468874172185;42,4827814569536;38,2515894039735;40,8060264900662;43,9316556291391;42,012582781457;42,536872134488
"20";"MAGDALENA";41,5614204545455;42,9961647727273;42,4322159090909;42,0359943181818;37,1001136363636;39,4340625;43,0761647727273;40,2998295454545;41,4239204545455
"21";"META";44,8806810035842;44,9398924731183;43,4994982078853;44,7553405017921;39,4216129032258;42,401935483871;45,74229390681;43,8091756272401;44,192735042735
"22";"NARIÑO";44,9364077669903;46,0377427184466;44,5250970873786;45,1947330097087;40,4503155339806;42,433567961165;45,5164077669903;44,468713592233;44,533640776699
"23";"NORTE SANTANDER";46,0985843373494;45,6807530120482;44,4001204819277;45,2276204819277;39,8789156626506;43,2755421686747;45,7490963855422;43,8001807228916;44,7389504170528
"24";"PUTUMAYO";43,6554022988506;44,963908045977;43,7144827586207;44,038275862069;39,0835632183908;40,9119540229885;44,5874712643678;43,8874712643678;43,4781343943413
"25";"QUINDIO";45,2005882352941;45,043137254902;44,0529411764706;45,1164052287582;39,7375163398693;44,500522875817;46,4188888888889;44,1640522875817;44,7413122171946
"26";"RISARALDA";45,2078629032258;45,2357661290323;44,2668951612903;45,1941532258065;40,1739516129032;44,5983064516129;46,723185483871;44,7014919354839;44,9742462779156
"27";"SAN ANDRES";44,1289473684211;43,5073684210526;42,7231578947368;43,3984210526316;37,9368421052632;51,681052631579;45,2263157894737;42,1105263157895;43,9641295546559
"28";"SANTANDER";46,2057039187228;45,7241944847605;44,6234978229318;45,4217561683599;40,0014223512337;43,2494484760523;46,1541364296081;44,2893468795356;44,9752718544155
"29";"SUCRE";42,5527642276423;44,2269918699187;43,0877642276423;43,0837804878049;38,624837398374;40,1835772357724;43,7441463414634;41,8807317073171;42,450703564728
"30";"TOLIMA";43,780154185022;44,7543612334802;43,3530176211454;44,1476431718062;39,0522907488987;42,0161233480176;45,0814757709251;43,3907709251101;43,591528295493
"31";"VALLE";44,5136907730673;44,9861762261014;44,1438653366584;44,6065502909393;39,8732335827099;43,389650872818;46,5006982543641;43,9345719035744;44,4547528614361
"32";"VAUPES";39,2015384615385;43,0484615384615;42,9223076923077;41,2915384615385;38,1738461538462;39,2515384615385;42,9530769230769;42,51;41,2439644970414
"33";"VICHADA";41,79;44,1257142857143;43,045;42,7314285714286;39,1521428571429;39,8;44,05;42,5778571428571;42,4253846153846
